,img_path,label,predicted_probs,predicted_label
0,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Autistic.686.jpg,Autistic,0.1945965,0
1,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Autistic.127.jpg,Autistic,0.8029801,1
2,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Autistic.1051.jpg,Autistic,0.6483303,1
3,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Non_Autistic.1006.jpg,Non_Autistic,0.0983052,0
4,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Non_Autistic.336.jpg,Non_Autistic,0.88653183,1
5,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Non_Autistic.297.jpg,Non_Autistic,0.20852962,0
6,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Autistic.481.jpg,Autistic,0.86331826,1
7,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Non_Autistic.108.jpg,Non_Autistic,0.0707033,0
8,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Autistic.721.jpg,Autistic,0.6011294,1
9,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Autistic.688.jpg,Autistic,0.22032772,0
10,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Autistic.814.jpg,Autistic,0.6839767,1
11,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Autistic.7.jpg,Autistic,0.24453942,0
12,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Autistic.299.jpg,Autistic,0.63046044,1
13,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Non_Autistic.1036.jpg,Non_Autistic,0.4405856,0
14,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Autistic.159.jpg,Autistic,0.04752178,0
15,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Autistic.884.jpg,Autistic,0.5883693,1
16,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Non_Autistic.340.jpg,Non_Autistic,0.86314857,1
17,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Non_Autistic.1264.jpg,Non_Autistic,0.81706214,1
18,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Non_Autistic.1034.jpg,Non_Autistic,0.8751294,1
19,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Autistic.597.jpg,Autistic,0.37756807,0
20,/content/drive/MyDrive/Magnimind/Face_detection/MP/../train/Non_Autistic.348.jpg,Non_Autistic,0.82029676,1
